"postcode","lga_code19","LGAname"
"2666","17350","Temora (A)"
"2133","11570","Canterbury-Bankstown (A)"
"2652","17750","Wagga Wagga (C)"
"2336","17620","Upper Hunter Shire (A)"
"2778","10900","Blue Mountains (C)"
"2222","12930","Georges River (A)"
"2574","18400","Wollondilly (A)"
"2829","12150","Coonamble (A)"
"2626","17040","Snowy Monaro Regional (A)"
"2082","14000","Hornsby (A)"
"2611","Notstated","Notstated"
"2314","Notstated","Notstated"
"2083","14000","Hornsby (A)"
"2559","11500","Campbelltown (C) (NSW)"
"2143","11570","Canterbury-Bankstown (A)"
